jaaaaaaaren	járen
veeeeeeel	véél
zooooooo	zó
heeeeeeele	héle
heeeeeeerlijk	héérlijk
Neeeeeee	Néé
Zooooooo	Zó
earning	inkomen
flexiewoorden	flexies
maaaaaaar	máár
happie	gelukkig
oooooooh	óh
Koror	Melekeok
noooooooit	nóóit
seaports	zeehavens
heeeeeeel	héél
readership	relatie
seaport	zeehaven
belanghouders	belanghebbenden
Jaaaaaaa	Já
Heeeeeeel	Héél
neeeeeee	néé
zeeeeeeer	zéér
happier	gelukkiger
Maaaaaar	Máár
Zoooooo	Zó
zaaaaaalig	zálig
weaknesses	zwakheden
synth	synthesizer
uuuuuuren	úren
petanquert	petanquespeler
kansonderwijs	tweedekansonderwijs
kostenverslindende	geldverslindende
talkies	walkietalkies
jaaaaaaren	járen
maaaaaanden	máánden
fosdem	FOSDEM
fotografies	foto's
neeeeee	néé
helemaaaaaal	helemáál
jaaaaaa	já
Airship	Luchtschip
Jaaaaaa	Já
votes	stemmen
threesome	trio
kansbeleid	tweedekansbeleid
relationships	relaties
wallonnes	Waals
zeeeeeer	zéér
Kòrsou	Curaçao
kommies	commissaris
nvidia	NVIDIA
Neeeeee	Néé
heeeeeel	héél
Heeeeeel	Héél
veeeeeel	véél
maaaaaar	máár
voices	stemmen
zoooooo	zó
kostenverslindend	geldverslindend
poene	straffe
German	Duits
synths	synthesizers
heeeeeerlijk	héérlijk
heeeeeele	héle
nooooooit	nóóit
Matlab	MATLAB
abusievelijke	abusieve
flexiewoordjes	flexietjes
ambt.	ambtelijk
excuser	verexcuseren
zooooo	zó
flexiewoordje	flexietje
disseminated	gedissemineerd
moooooi	móói
Gelukkiglijk	gelukkig
phoenix	feniks
flagship	vlaggenschip
houdswerkzaamheden	onderhoudswerkzaamheden
Bruxelles	Brussel
nVidia	NVIDIA
UNESCO	Unesco
Hallooooo	Halló
flexiewoord	flexie
verantwoordbaar	verantwoordelijk
Gooooooogle	Google
assenpoes	Assepoester
verantwoordbare	verantwoordelijke
ulcussen	ulcera
attacker	aanvaller
uppie	eentje
scheepslieden	scheepslui
commenters	commentatoren
Nvidia	NVIDIA
fants	fantasieën
vierliter	vierlitermotor
monopolyert	monopolyspeler
koeltoer	cultuur
zaaaaalig	zálig
Palauaans	Paulus
UNICEF	Unicef
zoooooveel	zóveel
noooooit	nóóit
logeerdert	logee
attackers	aanvallers
zeeeeer	zéér
trollende	pestende
mil	miljoen
burokratie	bureaucratie
servieswerk	serviesgoed
ship	tallship
urls	URL's
véééééél	véél
isbn	ISBN
sjieker	chiquer
moederdagkado	moederdagcadeau
koppelstrepen	koppeltekens
kraamkado	kraamcadeau
ZMOK	zmok
kado's	cadeaus
klassediagrammen	klassendiagram
RIAGG	Riagg
kadopapier	cadeaupapier
realiestieser	realistischer
burokratische	bureaucratische
kerstkado	kerstcadeau
febo	FEBO
technieker	technicus
kerstkadootje	kerstcadeautje
dermatologist	dermatoloog
verjaardagskadootje	verjaardagscadeautje
deurs	tweedeurs
jetten	jetskiën
disseminating	disseminerend
kadobonnen	cadeaubonnen
kado	cadeau
kadootje	cadeautje
kleuterleid	kleuterleidster
kados	cadeaus
paswoordgegevens	wachtwoordgegevens
afscheidskado	afscheidscadeau
kerstkadootjes	kerstcadeautjes
vvders	VVD'ers
kadotje	cadeautje
boogywoogy	boogiewoogie
kadobon	cadeaubon
fbook	Facebook
verjaardagskado	verjaardagscadeau
ships	tallships
kiet	quitte
kadotjes	cadeautjes
slotevent	slotevenement
caissie`re	kassière
sjieke	chique
Cites	CITES
Natin	NATIN
kadoo	cadeau
Liège	Luik
kadoos	cadeaus
Hawaiians	Hawaïanen
gelijkheidwaardigheid	gelijkwaardigheid
kluppie	clubje
kadootjes	cadeautjes
vvder	VVD'er
BABS	babs
milieuefficiency	milieuefficiëntie
DVD`s	dvd's
fant	fantasie
passports	paspoorten
koppelstreep	koppelteken
actievieten	activiteiten
mri	MRI
Friendship	Vriendschap
cado	cadeau
beschimperd	beschimpt
nie`t	níét
zééééér	zéér
fotocopy	fotokopie
disseminate	dissemineren
politburo	politbureau
ZZP'ers	zzp'ers
pvv'er	PVV'er
burootje	bureautje
chicque	chic
plugged	plugt
burocratische	bureaucratische
versnellingskes	versnellinkjes
coo	COO
Asus	ASUS
DJ`s	dj's
zodan	zoals
burootjes	bureautjes
ZZP	zzp
berstens	berstensvol
dingske	dingetje
architectenburo	architectenbureau
usb	USB
PDF	pdf
steengrillert	steengrill
ipv	i.p.v.
rozelgel	rozengelei
verantwoordelekheit	verantwoordelijkheid
effici	efficiënt
consultatieburo	consultatiebureau
pastoren	pastoors
pvdaer	PvdA'er
gebant	gebannen
toegejuigd	toegejuicht
uitzendburo	uitzendbureau
Quijote	Quichot
vvd'er	VVD'er
Tsjchinvali	Tsinvali
url's	URL's
talmud	Talmoed
maseuren	masseurs
hìj	hí́ȷ
meerdermalen	meermalen
tekeningskes	tekeningetjes
Aldi	ALDI
PDF's	pdf's
cadootjes	cadeautjes
url	URL
ZZP'er	zzp'er
vvd'ers	VVD'ers
mongeaul	mongool
politieburo	politiebureau
attacks	attaques
burostoel	bureaustoel
tweeëneenhalf	tweeënhalf
kommisje	commissie
jìj	jí́ȷ
incassoburo's	incassobureaus
burlesque	burlesk
Onderzoeklokatie	Onderzoekslocaties
zovéél	zóveel
kangaroo	kangoeroe
zwelde	zwol
stukkend	stukgaand
telefonen	telefoons
Salaì	Salaino
kunstenaren	kunstenaars
vic	VIC
carri	carrière
waarschiklijn	waarschijnlijk
vééééél	véél
voorals	vooralsnog
jop	JOP
reisburo's	reisbureaus
burkah	boerka
stukkende	stukgaande
handelsbarrie`res	handelsbarrière
afdalingskes	afdalinkjes
buro's	bureaus
frankskes	franken
pati	patiënt
carierre	carrière
dingskes	dingetjes
koppie	kop
slachttanden	slagtanden
kangaroos	kangoeroes
surseillance	surseance
sponsorships	sponsorschap
vrijheidsstelling	invrijheidstelling
voorzorgsmaatregelingen	voorzorgsmaatregelen
hemmetjes	hemdjes
zóóóó	zó
strakkies	straks
FTP	ftp
buro	bureau
accomodation	accommodatie
afdalingske	afdalinkje
cariërre	carrière
rsi	RSI
adviesburo	adviesbureau
angstverwekkend	angstwekkend
katastrophe	catastrofe
slachttand	slagtand
reclameburo	reclamebureau
afrees	afreisde
