poene	straffe
German	Duits
synths	synthesizers
heeeeeerlijk	héérlijk
heeeeeele	héle
nooooooit	nóóit
Matlab	MATLAB
abusievelijke	abusieve
flexiewoordjes	flexietjes
ambt.	ambtelijk
excuser	verexcuseren
zooooo	zó
flexiewoordje	flexietje
disseminated	gedissemineerd
moooooi	móói
Gelukkiglijk	gelukkig
phoenix	feniks
flagship	vlaggenschip
houdswerkzaamheden	onderhoudswerkzaamheden
Bruxelles	Brussel
nVidia	NVIDIA
UNESCO	Unesco
Hallooooo	Halló
flexiewoord	flexie
verantwoordbaar	verantwoordelijk
Gooooooogle	Google
assenpoes	Assepoester
verantwoordbare	verantwoordelijke
ulcussen	ulcera
attacker	aanvaller
uppie	eentje
scheepslieden	scheepslui
