jaaaaaaaren	járen
veeeeeeel	véél
laissez	laissez-passer
zooooooo	zó
AZERTY-klavier	azertyklavier
heeeeeeele	héle
heeeeeeerlijk	héérlijk
Sint-	Sint-Maarten
Neeeeeee	Néé
Zooooooo	Zó
earning	inkomen
flexiewoorden	flexies
AZERTY-toetsenbord	azertytoetsenbord
maaaaaaar	máár
pdf-file	pdf-bestand
QWERTZ-toetsenbordje	qwertztoetsenbordje
QWERTZ-toetsenborden	qwertztoetsenborden
happie	gelukkig
oooooooh	óh
Koror	Melekeok
QWERTY-toetsenbordje	qwertytoetsenbordje
noooooooit	nóóit
QWERTY-klavieren	qwertyklavieren
ISB-nummer	ISBN
AZERTY-toetsenborden	azertytoetsenborden
QWERTY-toetsenbordjes	qwertytoetsenbordjes
AZERTY-klaviertjes	azertyklaviertjes
QWERTZ-klaviertjes	qwertzklaviertjes
QWERTY-klavier	qwertyklavier
AZERTY-klavieren	azertyklavieren
QWERTZ-toetsenbord	qwertztoetsenbord
seaports	zeehavens
QWERTY-toetsenborden	qwertytoetsenborden
procesverbalen	processen-verbaal
heeeeeeel	héél
BSN-nummer	BSN
QWERTZ-klaviertje	qwertzklaviertje
readership	relatie
QWERTY-klaviertje	qwertyklaviertje
CMS-systemen	CMS'en
seaport	zeehaven
belanghouders	belanghebbenden
Jaaaaaaa	Já
AZERTY-toetsenbordje	azertytoetsenbordje
QWERTZ-klavieren	qwertzklavieren
Heeeeeeel	Héél
driesterren-	drie-
AZERTY-klaviertje	azertyklaviertje
jeu-de-boulert	jeu-de-boulesspeler
neeeeeee	néé
QWERTY-toetsenbord	qwertytoetsenbord
AZERTY-toetsenbordjes	azertytoetsenbordjes
QWERTY-klaviertjes	qwertyklaviertjes
QWERTZ-toetsenbordjes	qwertztoetsenbordjes
zeeeeeeer	zéér
happier	gelukkiger
QWERTZ-klavier	qwertzklavier
aves	's avonds
Maaaaaar	Máár
Zoooooo	Zó
zaaaaaalig	zálig
weaknesses	zwakheden
synth	synthesizer
uuuuuuren	úren
URL-adres	URL
petanquert	petanquespeler
kansonderwijs	tweedekansonderwijs
kostenverslindende	geldverslindende
talkies	walkietalkies
jaaaaaaren	járen
maaaaaanden	máánden
fosdem	FOSDEM
fotografies	foto's
neeeeee	néé
helemaaaaaal	helemáál
laisser	laisser-faire
jaaaaaa	já
Airship	Luchtschip
Jaaaaaa	Já
votes	stemmen
threesome	trio
kansbeleid	tweedekansbeleid
relationships	relaties
heen-en-weer	heen-en-weergedouw
wallonnes	Waals
zeeeeeer	zéér
Kòrsou	Curaçao
kommies	commissaris
nvidia	NVIDIA
Neeeeee	Néé
heeeeeel	héél
Heeeeeel	Héél
veeeeeel	véél
maaaaaar	máár
laissez-	laissez-passer
voices	stemmen
monumentendag	Open Monumentendag
zoooooo	zó
kostenverslindend	geldverslindend
THT-datum	t.h.t.-datum
poene	straffe
German	Duits
synths	synthesizers
heeeeeerlijk	héérlijk
heeeeeele	héle
nooooooit	nóóit
Matlab	MATLAB
abusievelijke	abusieve
Vinex-nota	Vinex
ster-reclame's	STER-reclames
flexiewoordjes	flexietjes
ambt.	ambtelijk
excuser	verexcuseren
zooooo	zó
flexiewoordje	flexietje
disseminated	gedissemineerd
moooooi	móói
Gelukkiglijk	gelukkig
phoenix	feniks
flagship	vlaggenschip
houdswerkzaamheden	onderhoudswerkzaamheden
Bruxelles	Brussel
nVidia	NVIDIA
UNESCO	Unesco
Hallooooo	Halló
VINEX-lokatie	Vinex-locatie
VINEX-lokaties	Vinex-locaties
flexiewoord	flexie
dag-nacht	dag-nachtritme
BTW-verhogingen	btw-verhoging
verantwoordbaar	verantwoordelijk
NoordKorea	Zuid-Korea
Gooooooogle	Google
assenpoes	Assepoester
verantwoordbare	verantwoordelijke
ulcussen	ulcera
attacker	aanvaller
uppie	eentje
scheepslieden	scheepslui
commenters	commentatoren
Nvidia	NVIDIA
fants	fantasieën
vierliter	vierlitermotor
monopolyert	monopolyspeler
koeltoer	cultuur
zaaaaalig	zálig
Palauaans	Paulus
brinnummer	BRIN-nummer
UNICEF	Unicef
zoooooveel	zóveel
noooooit	nóóit
logeerdert	logee
attackers	aanvallers
brinnummers	BRIN-nummers
zeeeeer	zéér
trollende	pestende
mil	miljoen
burokratie	bureaucratie
servieswerk	serviesgoed
pvv-er	PVV'er
ship	tallship
urls	URL's
LGBT-gemeenschap	lgbt-gemeenschap
BTW-Richtlijn	btw-richtlijn
ict_integratie	ICT-integratie
véééééél	véél
Ster-reclame's	STER-reclames
ZZP-er	zzp'er
isbn	ISBN
sjieker	chiquer
moederdagkado	moederdagcadeau
ZZP-ers	zzp'ers
koppelstrepen	koppeltekens
kraamkado	kraamcadeau
ZMOK	zmok
kado's	cadeaus
klassediagrammen	klassendiagram
ISBN-nr.	ISBN
Cites-conferentie	CITES-conferentie
oo-serieux	au sérieux
RIAGG	Riagg
kadopapier	cadeaupapier
Bosnië-Herzegovina	Bosnië en Herzegovina
realiestieser	realistischer
burokratische	bureaucratische
de`s	dat is
kerstkado	kerstcadeau
febo	FEBO
technieker	technicus
kerstkadootje	kerstcadeautje
dermatologist	dermatoloog
verjaardagskadootje	verjaardagscadeautje
3-weekse	drieweekse
pvv-ers	PVV'ers
deurs	tweedeurs
jetten	jetskiën
Povray	POV-Ray
van zinnens zijn	zinnens zijn
ict-ers	ICT'ers
vvd-er	VVD'er
Cites-verdrag	CITES-verdrag
disseminating	disseminerend
ict-er	ICT'er
PDF-je	pdf'je
kadobonnen	cadeaubonnen
kado	cadeau
MBO-ers	mbo'ers
kadootje	cadeautje
keiweek	KEI-week
smtp-account	SMTP-account
kleuterleid	kleuterleidster
vvd-ers	VVD'ers
kados	cadeaus
paswoordgegevens	wachtwoordgegevens
afscheidskado	afscheidscadeau
één-op-één	een-op-een
kerstkadootjes	kerstcadeautjes
vvders	VVD'ers
ster-reclames	STER-reclames
mond-aan-mond-reclame	mond-tot-mondreclame
kadotje	cadeautje
boogywoogy	boogiewoogie
kadobon	cadeaubon
ster-reclame	STER-reclame
fbook	Facebook
verjaardagskado	verjaardagscadeau
ships	tallships
kiet	quitte
kadotjes	cadeautjes
slotevent	slotevenement
caissie`re	kassière
sjieke	chique
Cites	CITES
Natin	NATIN
kadoo	cadeau
Liège	Luik
kadoos	cadeaus
